type,deadline,source_url,context,conference_title,conference_id
submission,"January 23, 2026",https://iui.acm.org,"Camera-ready submission: January 23, 2026",IUIACM Conference on Intelligent User Interfaces,4
submission,"February 06, 2026",https://iui.acm.org,"Camera-ready submission: February 06, 2026",IUIACM Conference on Intelligent User Interfaces,4
submission,"January 23, 2026",https://iui.acm.org,"Camera-ready submission: January 23, 2026",IUIACM Conference on Intelligent User Interfaces,4
submission,"February 06, 2026",https://iui.acm.org,"Camera-ready submission: February 06, 2026",IUIACM Conference on Intelligent User Interfaces,4
submission,"January 23, 2026",https://iui.hosting.acm.org/2026/call-for-papers/,"Camera-ready submission: January 23, 2026",IUIACM Conference on Intelligent User Interfaces,4
submission,"January 23, 2026",https://iui.acm.org/2026/call-for-papers,"Camera-ready submission: January 23, 2026",IUIACM Conference on Intelligent User Interfaces,4
submission,"January 23, 2026",https://iui.acm.org/2026/call,"Camera-ready submission: January 23, 2026",IUIACM Conference on Intelligent User Interfaces,4
abstract,"July 31, 2025",https://tei.acm.org/2026/participate/papers/,"Abstract Deadline July 31, 2025, AoE","TEIACM International Conference on Tangible, Embedded and Embodied Interaction",5
camera-ready,"November 10, 2025",https://tei.acm.org/2026/participate/papers/,"Camera-Ready Deadline on PCS (Anonymized) November 10, 2025","TEIACM International Conference on Tangible, Embedded and Embodied Interaction",5
Abstract,"July 31, 2025",https://tei.acm.org/2026/participate/papers/,"Abstract Deadline

July 31, 2025, AoE","TEIACM International Conference on Tangible, Embedded and Embodied Interaction",5
abstract,"July 31, 2025",https://tei.acm.org/2026/participate/papers,"Abstract Deadline July 31, 2025, AoE","TEIACM International Conference on Tangible, Embedded and Embodied Interaction",5
camera-ready,"November 10, 2025",https://tei.acm.org/2026/participate/papers,"Camera-Ready Deadline on PCS (Anonymized) November 10, 2025","TEIACM International Conference on Tangible, Embedded and Embodied Interaction",5
Abstract,"July 31, 2025",https://tei.acm.org/2026/participate/papers,"Abstract Deadline

July 31, 2025, AoE","TEIACM International Conference on Tangible, Embedded and Embodied Interaction",5
